ProductoID,Cantidad,Descuento,FechaFactura,FechaEnvio,PaisEnvio,ProductoNombre,UnidadesStock,dias
16,7,0.2,1996-10-22,1996-10-24,Ireland,Chang,17,2.0
24,24,0.2,1996-10-30,1996-11-04,Germany,Chang,17,5.0
30,25,0.25,1996-12-25,1997-01-03,USA,Chang,17,9.0
74,60,0.0,1997-01-17,1997-01-24,Germany,Chang,17,7.0
2,10,0.0,1997-02-04,1997-02-07,UK,Chang,17,3.0
41,45,0.15000001,1997-02-10,1997-02-28,USA,Chang,17,18.0
17,40,0.15000001,1997-03-10,1997-03-14,USA,Chang,17,4.0
70,20,0.1,1997-03-25,1997-03-31,Venezuela,Chang,17,6.0
12,12,0.0,1997-04-11,1997-04-18,USA,Chang,17,7.0
40,10,0.0,1997-07-25,1997-08-01,Poland,Chang,17,7.0
59,20,0.0,1997-08-06,1997-08-11,Brazil,Chang,17,5.0
76,30,0.05,1997-08-14,1997-08-19,Germany,Chang,17,5.0
29,50,0.0,1997-08-22,1997-08-26,Venezuela,Chang,17,4.0
72,5,0.0,1997-10-14,1997-10-20,Sweden,Chang,17,6.0
33,30,0.25,1997-10-22,1997-10-27,USA,Chang,17,5.0
72,3,0.0,1997-10-29,1997-11-04,USA,Chang,17,6.0
36,15,0.2,1997-11-14,1997-11-18,UK,Chang,17,4.0
43,40,0.0,1997-12-05,1997-12-09,Germany,Chang,17,4.0
33,15,0.05,1997-12-19,1997-12-26,France,Chang,17,7.0
20,10,0.0,1997-12-23,1997-12-31,Poland,Chang,17,8.0
31,20,0.25,1997-12-31,1998-01-05,France,Chang,17,5.0
72,12,0.2,1998-01-05,1998-01-09,Brazil,Chang,17,4.0
10,10,0.0,1998-01-13,1998-01-23,UK,Chang,17,10.0
31,5,0.05,1998-01-26,1998-02-02,Brazil,Chang,17,7.0
33,15,0.0,1998-01-26,1998-01-30,USA,Chang,17,4.0
40,20,0.0,1998-01-28,1998-02-10,Mexico,Chang,17,13.0
76,21,0.25,1998-02-03,1998-02-12,Sweden,Chang,17,9.0
71,20,0.0,1998-02-12,1998-02-18,Belgium,Chang,17,6.0
72,20,0.0,1998-02-16,1998-02-23,Spain,Chang,17,7.0
24,10,0.15000001,1998-03-10,1998-03-13,Italy,Chang,17,3.0
59,50,0.2,1998-04-01,1998-04-07,Germany,Chang,17,6.0
10,11,0.25,1998-04-14,1998-04-21,Germany,Chang,17,7.0
13,100,0.25,1998-04-17,1998-04-27,USA,Chang,17,10.0
28,30,0.2,1998-04-22,1998-04-28,Switzerland,Chang,17,6.0
62,10,0.2,1998-04-24,1998-05-04,Brazil,Chang,17,10.0
44,20,0.15000001,1998-05-05,,Germany,Chang,17,
59,8,0.0,1998-05-05,,Austria,Chang,17,
63,10,0.15000001,1998-05-06,,Switzerland,Chang,17,
73,24,0.2,1998-05-06,,USA,Chang,17,
17,30,0.0,1996-08-26,1996-08-28,UK,Aniseed Syrup,13,2.0
24,50,0.0,1997-01-06,1997-01-22,Venezuela,Aniseed Syrup,13,16.0
55,20,0.1,1997-03-25,1997-03-31,Venezuela,Aniseed Syrup,13,6.0
75,60,0.0,1997-05-19,1997-06-13,Germany,Aniseed Syrup,13,25.0
19,14,0.0,1997-07-07,1997-07-16,Denmark,Aniseed Syrup,13,9.0
24,6,0.0,1997-10-13,1997-10-21,Germany,Aniseed Syrup,13,8.0
35,20,0.0,1997-11-14,1997-11-18,Canada,Aniseed Syrup,13,4.0
30,20,0.1,1997-12-03,1997-12-08,Austria,Aniseed Syrup,13,5.0
57,49,0.0,1998-01-23,1998-01-30,Germany,Aniseed Syrup,13,7.0
15,30,0.0,1998-01-28,1998-02-06,Sweden,Aniseed Syrup,13,9.0
19,25,0.0,1998-04-13,1998-04-20,Austria,Aniseed Syrup,13,7.0
60,4,0.0,1998-05-06,,USA,Aniseed Syrup,13,
72,20,0.0,1996-09-19,1996-10-23,Ireland,Chef Anton's Cajun Seasoning,53,34.0
27,24,0.0,1996-10-10,1996-10-14,Spain,Chef Anton's Cajun Seasoning,53,4.0
44,18,0.1,1996-10-23,1996-10-25,Portugal,Chef Anton's Cajun Seasoning,53,2.0
60,10,0.0,1996-10-28,1996-11-04,Canada,Chef Anton's Cajun Seasoning,53,7.0
67,35,0.0,1996-11-01,1996-11-05,USA,Chef Anton's Cajun Seasoning,53,4.0
1,16,0.2,1997-03-04,1997-03-14,Portugal,Chef Anton's Cajun Seasoning,53,10.0
40,50,0.15000001,1997-04-18,1997-04-21,France,Chef Anton's Cajun Seasoning,53,3.0
53,50,0.1,1997-05-05,1997-05-07,Germany,Chef Anton's Cajun Seasoning,53,2.0
35,50,0.05,1997-05-12,1997-05-22,Sweden,Chef Anton's Cajun Seasoning,53,10.0
62,20,0.2,1997-07-22,1997-07-31,Brazil,Chef Anton's Cajun Seasoning,53,9.0
16,10,0.1,1997-08-18,1997-08-21,Italy,Chef Anton's Cajun Seasoning,53,3.0
34,25,0.0,1997-08-19,1997-08-26,Finland,Chef Anton's Cajun Seasoning,53,7.0
46,12,0.1,1997-09-02,1997-09-11,Sweden,Chef Anton's Cajun Seasoning,53,9.0
54,6,0.0,1997-10-14,1997-11-07,Brazil,Chef Anton's Cajun Seasoning,53,24.0
68,25,0.0,1997-11-03,1997-12-05,UK,Chef Anton's Cajun Seasoning,53,32.0
3,21,0.0,1998-01-22,1998-01-23,Belgium,Chef Anton's Cajun Seasoning,53,1.0
64,30,0.25,1998-02-26,1998-03-04,Brazil,Chef Anton's Cajun Seasoning,53,6.0
5,5,0.0,1998-03-16,1998-03-23,Italy,Chef Anton's Cajun Seasoning,53,7.0
29,25,0.25,1998-04-06,1998-04-14,USA,Chef Anton's Cajun Seasoning,53,8.0
49,1,0.0,1998-05-06,,USA,Chef Anton's Cajun Seasoning,53,
77,65,0.2,1996-07-17,1996-07-23,Austria,Chef Anton's Gumbo Mix,0,6.0
13,12,0.2,1996-07-22,1996-07-25,USA,Chef Anton's Gumbo Mix,0,3.0
44,20,0.0,1996-08-27,1996-09-03,Brazil,Chef Anton's Gumbo Mix,0,7.0
51,32,0.0,1996-12-13,1996-12-16,Austria,Chef Anton's Gumbo Mix,0,3.0
20,15,0.1,1997-08-18,1997-08-21,Italy,Chef Anton's Gumbo Mix,0,3.0
18,4,0.0,1997-10-17,1997-11-05,USA,Chef Anton's Gumbo Mix,0,19.0
24,30,0.0,1998-01-23,1998-01-29,UK,Chef Anton's Gumbo Mix,0,6.0
63,20,0.0,1998-03-18,1998-03-27,Argentina,Chef Anton's Gumbo Mix,0,9.0
75,70,0.0,1998-04-17,1998-04-27,USA,Chef Anton's Gumbo Mix,0,10.0
1,30,0.25,1998-04-24,1998-05-01,UK,Chef Anton's Gumbo Mix,0,7.0
17,30,0.0,1996-09-19,1996-10-23,Ireland,Grandma's Boysenberry Spread,120,34.0
43,6,0.0,1996-10-09,1996-10-14,Germany,Grandma's Boysenberry Spread,120,5.0
60,70,0.0,1997-08-01,1997-08-08,Canada,Grandma's Boysenberry Spread,120,7.0
75,30,0.0,1997-11-07,1997-11-12,Brazil,Grandma's Boysenberry Spread,120,5.0
56,6,0.0,1998-01-13,1998-01-21,Brazil,Grandma's Boysenberry Spread,120,8.0
11,50,0.05,1998-02-05,1998-02-10,France,Grandma's Boysenberry Spread,120,5.0
16,20,0.0,1998-03-09,1998-03-12,Germany,Grandma's Boysenberry Spread,120,3.0
69,12,0.0,1998-03-13,1998-03-17,Canada,Grandma's Boysenberry Spread,120,4.0
39,16,0.05,1998-03-16,1998-03-24,Germany,Grandma's Boysenberry Spread,120,8.0
72,40,0.0,1998-03-31,1998-04-02,Brazil,Grandma's Boysenberry Spread,120,2.0
2,20,0.25,1998-05-06,,France,Grandma's Boysenberry Spread,120,
36,1,0.02,1998-05-06,,USA,Grandma's Boysenberry Spread,120,
59,15,0.0,1996-07-22,1996-07-25,USA,Uncle Bob's Organic Dried Pears,15,3.0
62,10,0.2,1996-12-17,1996-12-23,USA,Uncle Bob's Organic Dried Pears,15,6.0
19,16,0.05,1997-02-27,1997-02-28,France,Uncle Bob's Organic Dried Pears,15,1.0
70,30,0.0,1997-03-11,1997-03-18,UK,Uncle Bob's Organic Dried Pears,15,7.0
66,50,0.15000001,1997-04-18,1997-04-21,France,Uncle Bob's Organic Dried Pears,15,3.0
68,10,0.0,1997-05-23,1997-05-27,France,Uncle Bob's Organic Dried Pears,15,4.0
40,10,0.0,1997-07-07,1997-07-16,Denmark,Uncle Bob's Organic Dried Pears,15,9.0
56,45,0.0,1997-07-22,1997-07-25,USA,Uncle Bob's Organic Dried Pears,15,3.0
17,35,0.0,1997-08-15,1997-08-21,France,Uncle Bob's Organic Dried Pears,15,6.0
28,90,0.0,1997-10-06,1997-10-09,Germany,Uncle Bob's Organic Dried Pears,15,3.0
43,35,0.0,1997-12-05,1997-12-09,Germany,Uncle Bob's Organic Dried Pears,15,4.0
40,3,0.15000001,1997-12-22,1997-12-26,Brazil,Uncle Bob's Organic Dried Pears,15,4.0
65,20,0.1,1998-01-15,1998-01-23,Germany,Uncle Bob's Organic Dried Pears,15,8.0
68,5,0.0,1998-01-29,1998-02-03,France,Uncle Bob's Organic Dried Pears,15,5.0
49,20,0.05,1998-02-26,1998-03-06,Italy,Uncle Bob's Organic Dried Pears,15,8.0
59,12,0.0,1998-02-26,1998-03-10,Norway,Uncle Bob's Organic Dried Pears,15,12.0
71,8,0.0,1998-03-11,1998-03-23,France,Uncle Bob's Organic Dried Pears,15,12.0
18,6,0.0,1998-03-18,1998-03-27,Argentina,Uncle Bob's Organic Dried Pears,15,9.0
29,45,0.0,1998-03-19,1998-03-23,Germany,Uncle Bob's Organic Dried Pears,15,4.0
39,18,0.0,1998-03-26,1998-03-31,Austria,Uncle Bob's Organic Dried Pears,15,5.0
30,20,0.0,1998-03-27,1998-04-08,Canada,Uncle Bob's Organic Dried Pears,15,12.0
53,60,0.0,1998-03-31,1998-04-06,UK,Uncle Bob's Organic Dried Pears,15,6.0
54,60,0.0,1998-03-31,1998-04-10,USA,Uncle Bob's Organic Dried Pears,15,10.0
62,60,0.0,1998-04-06,1998-04-14,Sweden,Uncle Bob's Organic Dried Pears,15,8.0
68,20,0.0,1998-04-09,1998-04-21,Italy,Uncle Bob's Organic Dried Pears,15,12.0
69,4,0.0,1998-04-14,1998-04-24,UK,Uncle Bob's Organic Dried Pears,15,10.0
70,40,0.0,1998-04-28,1998-05-01,UK,Uncle Bob's Organic Dried Pears,15,3.0
4,15,0.05,1998-05-05,,Venezuela,Uncle Bob's Organic Dried Pears,15,
6,1,0.05,1998-05-06,,USA,Uncle Bob's Organic Dried Pears,15,
42,70,0.25,1996-11-01,1996-11-05,USA,Northwoods Cranberry Sauce,6,4.0
43,70,0.0,1996-11-04,1996-11-11,Germany,Northwoods Cranberry Sauce,6,7.0
71,10,0.15000001,1997-04-18,1997-04-21,France,Northwoods Cranberry Sauce,6,3.0
16,24,0.0,1997-04-30,1997-05-06,Germany,Northwoods Cranberry Sauce,6,6.0
62,10,0.0,1997-10-07,1997-10-14,Finland,Northwoods Cranberry Sauce,6,7.0
42,40,0.0,1997-10-17,1997-11-20,Brazil,Northwoods Cranberry Sauce,6,34.0
69,30,0.2,1997-12-19,1997-12-23,Brazil,Northwoods Cranberry Sauce,6,4.0
28,20,0.0,1998-01-13,1998-01-23,UK,Northwoods Cranberry Sauce,6,10.0
43,30,0.0,1998-02-18,1998-02-20,Germany,Northwoods Cranberry Sauce,6,2.0
53,16,0.0,1998-03-25,1998-03-27,Canada,Northwoods Cranberry Sauce,6,2.0
75,20,0.15000001,1998-03-26,1998-04-23,Belgium,Northwoods Cranberry Sauce,6,28.0
36,30,0.0,1998-04-08,1998-04-13,Portugal,Northwoods Cranberry Sauce,6,5.0
32,2,0.1,1998-05-06,,USA,Northwoods Cranberry Sauce,6,
58,20,0.1,1997-01-21,1997-01-27,Brazil,Mishi Kobe Niku,29,6.0
62,16,0.15000001,1997-04-23,1997-05-23,Germany,Mishi Kobe Niku,29,30.0
34,50,0.25,1997-09-30,1997-10-30,Ireland,Mishi Kobe Niku,29,30.0
70,6,0.0,1997-10-06,1997-10-10,USA,Mishi Kobe Niku,29,4.0
41,3,0.0,1998-01-23,1998-01-29,UK,Mishi Kobe Niku,29,6.0
62,24,0.05,1996-08-05,1996-08-12,Germany,Ikura,31,7.0
1,15,0.0,1996-08-08,1996-08-14,Mexico,Ikura,31,6.0
41,30,0.2,1996-11-19,1996-12-02,Venezuela,Ikura,31,13.0
76,16,0.0,1996-12-20,1996-12-24,Canada,Ikura,31,4.0
17,14,0.0,1997-02-18,1997-02-27,France,Ikura,31,9.0
28,20,0.2,1997-02-19,1997-03-11,France,Ikura,31,20.0
76,20,0.05,1997-03-18,1997-03-26,France,Ikura,31,8.0
71,16,0.05,1997-04-28,1997-05-01,Switzerland,Ikura,31,3.0
35,2,0.0,1997-05-01,1997-05-07,Sweden,Ikura,31,6.0
52,5,0.0,1997-06-13,1997-07-09,Spain,Ikura,31,26.0
15,10,0.0,1997-07-24,1997-07-30,France,Ikura,31,6.0
25,70,0.0,1997-07-28,1997-08-01,USA,Ikura,31,4.0
39,18,0.25,1997-08-27,1997-09-03,Ireland,Ikura,31,7.0
16,24,0.15000001,1997-09-10,1997-09-19,Portugal,Ikura,31,9.0
35,2,0.0,1997-09-22,1997-09-29,Mexico,Ikura,31,7.0
46,20,0.0,1997-09-29,1997-10-03,Brazil,Ikura,31,4.0
59,18,0.1,1997-10-01,1997-10-07,Denmark,Ikura,31,6.0
63,18,0.0,1997-10-22,1997-10-24,USA,Ikura,31,2.0
6,21,0.0,1997-10-23,1997-10-29,France,Ikura,31,6.0
13,16,0.0,1997-10-30,1997-11-05,Canada,Ikura,31,6.0
14,6,0.0,1997-12-12,1997-12-26,USA,Ikura,31,14.0
31,10,0.0,1997-12-18,1997-12-24,Venezuela,Ikura,31,6.0
72,36,0.0,1997-12-30,1998-01-07,UK,Ikura,31,8.0
4,15,0.0,1998-01-12,1998-02-06,France,Ikura,31,25.0
57,16,0.0,1998-01-20,1998-01-29,Belgium,Ikura,31,9.0
75,100,0.15000001,1998-01-27,1998-02-05,Austria,Ikura,31,9.0
2,10,0.0,1998-02-06,1998-02-11,Spain,Ikura,31,5.0
11,70,0.0,1998-02-13,1998-03-02,Brazil,Ikura,31,17.0
30,20,0.1,1998-03-04,1998-04-08,Sweden,Ikura,31,35.0
58,25,0.0,1998-03-12,1998-03-19,Denmark,Ikura,31,7.0
59,30,0.0,1998-03-13,1998-03-17,Canada,Ikura,31,4.0
65,24,0.15000001,1998-04-14,1998-04-16,Germany,Ikura,31,2.0
68,1,0.0,1998-05-06,,USA,Ikura,31,
19,12,0.0,1996-07-04,1996-07-16,France,Queso Cabrales,22,12.0
30,12,0.0,1996-09-03,1996-09-11,Venezuela,Queso Cabrales,22,8.0
38,50,0.2,1996-10-11,1996-10-14,Sweden,Queso Cabrales,22,3.0
56,12,0.2,1996-11-13,1996-11-25,Austria,Queso Cabrales,22,12.0
26,24,0.0,1996-11-27,1996-12-02,Mexico,Queso Cabrales,22,5.0
72,30,0.0,1997-01-07,1997-01-30,Germany,Queso Cabrales,22,23.0
54,6,0.0,1997-02-03,1997-02-13,Sweden,Queso Cabrales,22,10.0
18,30,0.0,1997-02-11,1997-02-18,Austria,Queso Cabrales,22,7.0
42,6,0.2,1997-02-12,1997-02-14,Italy,Queso Cabrales,22,2.0
47,10,0.0,1997-03-06,1997-03-13,Brazil,Queso Cabrales,22,7.0
14,5,0.0,1997-03-26,1997-04-02,Venezuela,Queso Cabrales,22,7.0
21,15,0.25,1997-03-28,1997-04-09,Austria,Queso Cabrales,22,12.0
71,3,0.0,1997-05-06,1997-05-09,USA,Queso Cabrales,22,3.0
52,50,0.1,1997-05-13,1997-05-21,Mexico,Queso Cabrales,22,8.0
68,15,0.05,1997-05-20,1997-05-26,Germany,Queso Cabrales,22,6.0
2,10,0.0,1997-05-22,1997-06-26,USA,Queso Cabrales,22,35.0
31,15,0.0,1997-05-30,1997-06-03,Finland,Queso Cabrales,22,4.0
32,35,0.15000001,1997-06-12,1997-06-18,France,Queso Cabrales,22,6.0
51,15,0.05,1997-06-17,1997-06-19,Canada,Queso Cabrales,22,2.0
4,14,0.0,1997-07-29,1997-08-01,Germany,Queso Cabrales,22,3.0
23,10,0.0,1997-08-19,1997-08-26,Brazil,Queso Cabrales,22,7.0
26,15,0.0,1997-10-09,1997-10-17,Austria,Queso Cabrales,22,8.0
36,5,0.0,1997-11-03,1997-12-05,UK,Queso Cabrales,22,32.0
37,15,0.25,1997-12-09,1997-12-17,Brazil,Queso Cabrales,22,8.0
72,20,0.0,1997-12-25,1998-01-05,Germany,Queso Cabrales,22,11.0
17,50,0.1,1997-12-26,1998-01-05,UK,Queso Cabrales,22,10.0
30,20,0.1,1998-01-09,1998-01-13,Venezuela,Queso Cabrales,22,4.0
4,15,0.0,1998-01-20,1998-01-29,Mexico,Queso Cabrales,22,9.0
17,25,0.0,1998-01-30,1998-02-02,Germany,Queso Cabrales,22,3.0
62,10,0.0,1998-02-04,1998-02-09,UK,Queso Cabrales,22,5.0
18,40,0.0,1998-02-16,1998-02-23,USA,Queso Cabrales,22,7.0
41,40,0.25,1998-02-26,1998-03-18,Ireland,Queso Cabrales,22,20.0
43,2,0.0,1998-03-04,1998-03-11,Mexico,Queso Cabrales,22,7.0
33,5,0.25,1998-03-12,1998-03-13,Canada,Queso Cabrales,22,1.0
59,30,0.0,1998-03-30,1998-04-21,Argentina,Queso Cabrales,22,22.0
2,15,0.0,1998-03-31,1998-04-02,Brazil,Queso Cabrales,22,2.0
31,10,0.0,1998-04-22,1998-04-29,France,Queso Cabrales,22,7.0
36,10,0.0,1998-05-05,,Mexico,Queso Cabrales,22,
55,12,0.05,1996-07-26,1996-07-31,Finland,Queso Manchego La Pastora,86,5.0
64,15,0.0,1997-02-07,1997-02-10,Canada,Queso Manchego La Pastora,86,3.0
68,15,0.25,1997-05-14,1997-06-06,Germany,Queso Manchego La Pastora,86,23.0
76,30,0.15000001,1997-05-21,1997-05-23,Venezuela,Queso Manchego La Pastora,86,2.0
4,36,0.15000001,1997-08-15,1997-08-18,Austria,Queso Manchego La Pastora,86,3.0
8,100,0.0,1997-09-23,1997-10-16,USA,Queso Manchego La Pastora,86,23.0
8,4,0.0,1997-10-07,1997-10-14,Finland,Queso Manchego La Pastora,86,7.0
19,36,0.0,1997-10-27,1997-10-29,Germany,Queso Manchego La Pastora,86,2.0
42,30,0.0,1998-03-23,1998-04-01,Austria,Queso Manchego La Pastora,86,9.0
17,20,0.0,1998-03-26,1998-03-31,Austria,Queso Manchego La Pastora,86,5.0
56,20,0.0,1998-04-13,1998-04-16,USA,Queso Manchego La Pastora,86,3.0
25,20,0.05,1998-04-23,1998-04-24,Germany,Queso Manchego La Pastora,86,1.0
39,4,0.2,1998-04-24,1998-05-04,Brazil,Queso Manchego La Pastora,86,10.0
40,2,0.05,1998-05-06,,USA,Queso Manchego La Pastora,86,
75,10,0.0,1996-08-08,1996-08-14,Mexico,Konbu,24,6.0
1,20,0.1,1996-08-27,1996-09-04,Brazil,Konbu,24,8.0
23,12,0.0,1996-10-09,1996-10-14,Germany,Konbu,24,5.0
54,20,0.0,1996-12-16,1996-12-18,UK,Konbu,24,2.0
50,18,0.0,1996-12-23,1996-12-31,Germany,Konbu,24,8.0
69,10,0.0,1996-12-25,1997-01-03,USA,Konbu,24,9.0
38,2,0.1,1997-01-21,1997-01-27,Brazil,Konbu,24,6.0
41,1,0.0,1997-03-03,1997-03-18,UK,Konbu,24,15.0
44,10,0.0,1997-04-16,1997-05-13,Germany,Konbu,24,27.0
65,10,0.0,1997-05-05,1997-05-15,Finland,Konbu,24,10.0
24,8,0.0,1997-05-16,1997-05-23,UK,Konbu,24,7.0
54,60,0.0,1997-07-16,1997-07-22,Venezuela,Konbu,24,6.0
11,8,0.1,1997-07-29,1997-08-01,Venezuela,Konbu,24,3.0
38,13,0.15000001,1997-08-15,1997-08-18,Austria,Konbu,24,3.0
1,4,0.0,1997-11-11,1997-11-18,France,Konbu,24,7.0
29,6,0.0,1997-11-19,1997-11-21,Switzerland,Konbu,24,2.0
24,20,0.15000001,1997-12-26,1998-01-05,Germany,Konbu,24,10.0
57,7,0.0,1998-01-01,1998-01-07,Canada,Konbu,24,6.0
31,10,0.0,1998-01-13,1998-01-23,UK,Konbu,24,10.0
55,3,0.2,1998-01-14,1998-01-19,France,Konbu,24,5.0
69,6,0.0,1998-01-16,1998-01-23,Sweden,Konbu,24,7.0
10,65,0.15000001,1998-01-27,1998-02-05,Austria,Konbu,24,9.0
26,28,0.05,1998-02-18,1998-02-20,USA,Konbu,24,2.0
60,5,0.0,1998-02-20,1998-03-06,Argentina,Konbu,24,14.0
24,40,0.0,1998-02-24,1998-03-04,Brazil,Konbu,24,8.0
34,10,0.0,1998-03-04,1998-03-11,Mexico,Konbu,24,7.0
36,42,0.15000001,1998-03-06,1998-03-19,Switzerland,Konbu,24,13.0
16,20,0.25,1998-03-10,1998-03-16,Germany,Konbu,24,6.0
31,20,0.0,1998-03-11,1998-03-23,France,Konbu,24,12.0
60,15,0.0,1998-03-11,1998-03-19,UK,Konbu,24,8.0
28,20,0.0,1998-03-12,1998-03-18,Germany,Konbu,24,6.0
29,77,0.0,1998-03-19,1998-03-23,Germany,Konbu,24,4.0
38,84,0.15000001,1998-03-27,1998-04-06,USA,Konbu,24,10.0
49,56,0.0,1998-04-06,1998-04-16,USA,Konbu,24,10.0
54,20,0.1,1998-04-15,1998-04-24,Finland,Konbu,24,9.0
39,80,0.0,1998-04-17,1998-04-24,USA,Konbu,24,7.0
60,7,0.0,1998-04-20,1998-04-22,Germany,Konbu,24,2.0
25,30,0.0,1998-04-29,,Brazil,Konbu,24,
51,10,0.05,1998-05-05,,Venezuela,Konbu,24,
54,4,0.0,1998-05-06,,USA,Konbu,24,
31,9,0.0,1996-07-05,1996-07-10,Germany,Tofu,35,5.0
75,9,0.0,1996-10-09,1996-10-14,Germany,Tofu,35,5.0
76,10,0.0,1996-10-18,1996-10-25,Finland,Tofu,35,7.0
69,15,0.0,1996-12-06,1996-12-09,USA,Tofu,35,3.0
71,42,0.25,1996-12-25,1997-01-03,USA,Tofu,35,9.0
11,12,0.0,1997-01-09,1997-01-14,Argentina,Tofu,35,5.0
65,20,0.1,1997-01-13,1997-01-15,Finland,Tofu,35,2.0
77,35,0.0,1997-01-27,1997-03-03,Austria,Tofu,35,35.0
34,12,0.0,1997-03-13,1997-03-21,Mexico,Tofu,35,8.0
54,70,0.0,1997-04-11,1997-04-16,Ireland,Tofu,35,5.0
65,30,0.2,1997-06-02,1997-06-04,USA,Tofu,35,2.0
77,11,0.15000001,1997-06-17,1997-07-04,Austria,Tofu,35,17.0
21,15,0.05,1997-06-26,1997-07-01,Germany,Tofu,35,5.0
28,21,0.0,1997-08-07,1997-08-12,Germany,Tofu,35,5.0
57,3,0.0,1997-08-08,1997-08-14,Mexico,Tofu,35,6.0
64,3,0.1,1997-09-04,1997-09-10,USA,Tofu,35,6.0
29,30,0.0,1997-09-19,1997-09-23,Germany,Tofu,35,4.0
56,16,0.0,1997-11-07,1997-11-10,Sweden,Tofu,35,3.0
1,5,0.15000001,1997-11-21,1997-11-24,Finland,Tofu,35,3.0
64,15,0.2,1997-12-24,1998-01-02,Brazil,Tofu,35,9.0
74,20,0.25,1998-05-06,,France,Tofu,35,
36,1,0.03,1998-05-06,,USA,Tofu,35,
20,20,0.0,1996-08-16,1996-08-23,Venezuela,Genen Shouyu,39,7.0
38,5,0.0,1996-10-07,1996-10-14,Germany,Genen Shouyu,39,7.0
60,12,0.05,1997-04-09,1997-04-17,France,Genen Shouyu,39,8.0
72,10,0.0,1997-06-25,1997-07-04,USA,Genen Shouyu,39,9.0
58,25,0.05,1997-07-08,1997-07-16,Germany,Genen Shouyu,39,8.0
71,50,0.0,1997-09-04,1997-09-15,USA,Genen Shouyu,39,11.0
31,35,0.0,1996-07-12,1996-07-15,Switzerland,Pavlova,29,3.0
58,60,0.25,1996-07-23,1996-07-31,Austria,Pavlova,29,8.0
14,40,0.15000001,1996-08-22,1996-08-28,Brazil,Pavlova,29,6.0
54,30,0.0,1996-09-03,1996-09-11,Venezuela,Pavlova,29,8.0
31,10,0.0,1996-09-20,1996-09-27,USA,Pavlova,29,7.0
28,21,0.15000001,1996-10-08,1996-10-10,USA,Pavlova,29,2.0
39,56,0.05,1996-11-21,1996-11-26,UK,Pavlova,29,5.0
